Essai	Type	Methode	TailleStructure	Time	Memory
5	LinkedList	Remove	250000	0.14	60620	
6	LinkedList	Remove	250000	0.14	64300	
7	LinkedList	Remove	250000	0.13	62832	
8	LinkedList	Remove	250000	0.15	64552	
9	LinkedList	Remove	250000	0.14	64032	
10	LinkedList	Remove	250000	0.12	61000	
1	LinkedList	Remove	500000	0.12	73232	
2	LinkedList	Remove	500000	0.13	71668	
3	LinkedList	Remove	500000	0.13	72876	
4	LinkedList	Remove	500000	0.15	76020	
5	LinkedList	Remove	500000	0.15	78164	
6	LinkedList	Remove	500000	0.14	74804	
7	LinkedList	Remove	500000	0.15	76056	
8	LinkedList	Remove	500000	0.15	73036	
9	LinkedList	Remove	500000	0.17	72744	
10	LinkedList	Remove	500000	0.13	73196	
1	LinkedList	Get	1000	0.08	54132	
2	LinkedList	Get	1000	0.07	55392	
3	LinkedList	Get	1000	0.09	49156	
4	LinkedList	Get	1000	0.08	50892	
5	LinkedList	Get	1000	0.07	51208	
6	LinkedList	Get	1000	0.06	54932	
7	LinkedList	Get	1000	0.07	50936	
8	LinkedList	Get	1000	0.08	56196	
9	LinkedList	Get	1000	0.06	50896	
10	LinkedList	Get	1000	0.07	50912	
1	LinkedList	Get	5000	0.08	53152	
2	LinkedList	Get	5000	0.10	53156	
3	LinkedList	Get	5000	0.08	50852	
4	LinkedList	Get	5000	0.07	48692	
5	LinkedList	Get	5000	0.08	50972	
6	LinkedList	Get	5000	0.09	54064	
7	LinkedList	Get	5000	0.07	53280	
8	LinkedList	Get	5000	0.09	56208	
9	LinkedList	Get	5000	0.08	53888	
10	LinkedList	Get	5000	0.09	51244	
1	LinkedList	Get	10000	0.08	52964	
2	LinkedList	Get	10000	0.07	49052	
3	LinkedList	Get	10000	0.08	49176	
4	LinkedList	Get	10000	0.08	48876	
5	LinkedList	Get	10000	0.08	49052	
6	LinkedList	Get	10000	0.09	49080	
7	LinkedList	Get	10000	0.10	54308	
8	LinkedList	Get	10000	0.08	52808	
9	LinkedList	Get	10000	0.09	51152	
10	LinkedList	Get	10000	0.09	55040	
1	LinkedList	Get	50000	0.11	53864	
2	LinkedList	Get	50000	0.10	58868	
3	LinkedList	Get	50000	0.12	53800	
4	LinkedList	Get	50000	0.09	51992	
5	LinkedList	Get	50000	0.11	57908	
