Essai	Type	Methode	TailleStructure	Time	Memory
1	LinkedList	Get	20000000	160.44	1279272	
2	LinkedList	Get	20000000	126.77	1281768	
3	LinkedList	Get	20000000	121.38	1281160	
4	LinkedList	Get	20000000	121.32	1283756	
5	LinkedList	Get	20000000	113.81	1281288	
6	LinkedList	Get	20000000	122.58	1281440	
7	LinkedList	Get	20000000	115.64	1282524	
8	LinkedList	Get	20000000	138.10	1277268	
9	LinkedList	Get	20000000	114.78	1285624	
10	LinkedList	Get	20000000	109.12	1275704	
1	Vector	Add	500000	0.12	62072	
2	Vector	Add	500000	0.16	64064	
3	Vector	Add	500000	0.13	63924	
4	Vector	Add	500000	0.15	64064	
5	Vector	Add	500000	0.14	65984	
6	Vector	Add	500000	0.14	66284	
7	Vector	Add	500000	0.15	66028	
8	Vector	Add	500000	0.15	66052	
9	Vector	Add	500000	0.15	67072	
10	Vector	Add	500000	0.13	66060	
1	Vector	Add	1000000	0.17	84568	
2	Vector	Add	1000000	0.15	82340	
3	Vector	Add	1000000	0.17	78524	
4	Vector	Add	1000000	0.16	85672	
5	Vector	Add	1000000	0.15	85580	
6	Vector	Add	1000000	0.17	85808	
7	Vector	Add	1000000	0.18	80544	
8	Vector	Add	1000000	0.16	85592	
9	Vector	Add	1000000	0.16	87604	
10	Vector	Add	1000000	0.14	80720	
1	Vector	Add	2500000	0.31	113820	
2	Vector	Add	2500000	0.34	115520	
3	Vector	Add	2500000	0.31	113672	
4	Vector	Add	2500000	0.28	113884	
5	Vector	Add	2500000	0.29	118808	
6	Vector	Add	2500000	0.31	118688	
7	Vector	Add	2500000	0.32	118660	
8	Vector	Add	2500000	0.34	115800	
9	Vector	Add	2500000	0.27	113772	
10	Vector	Add	2500000	0.30	113708	
1	Vector	Add	5000000	0.53	173308	
2	Vector	Add	5000000	0.55	173268	
3	Vector	Add	5000000	0.56	176308	
4	Vector	Add	5000000	0.54	176192	
5	Vector	Add	5000000	0.51	175220	
6	Vector	Add	5000000	0.54	177516	
7	Vector	Add	5000000	0.54	171524	
8	Vector	Add	5000000	0.57	169316	
9	Vector	Add	5000000	0.50	169324	
10	Vector	Add	5000000	0.53	171504	
1	Vector	Add	10000000	2.51	345752	
2	Vector	Add	10000000	2.13	342280	
3	Vector	Add	10000000	2.75	348660	
4	Vector	Add	10000000	2.51	342456	
5	Vector	Add	10000000	2.29	340440	
6	Vector	Add	10000000	2.23	342476	
7	Vector	Add	10000000	2.30	342476	
8	Vector	Add	10000000	2.34	345592	
9	Vector	Add	10000000	2.42	343612	
10	Vector	Add	10000000	2.21	340808	
1	Vector	Add	15000000	3.84	523128	
2	Vector	Add	15000000	4.09	521156	
3	Vector	Add	15000000	4.18	526172	
4	Vector	Add	15000000	4.23	523184	
5	Vector	Add	15000000	4.31	525276	
6	Vector	Add	15000000	4.34	523036	
7	Vector	Add	15000000	4.26	528188	
8	Vector	Add	15000000	4.27	521304	
9	Vector	Add	15000000	4.48	525396	
10	Vector	Add	15000000	4.27	526340	
1	Vector	Add	20000000	5.36	617600	
2	Vector	Add	20000000	5.37	616660	
3	Vector	Add	20000000	5.15	619592	
4	Vector	Add	20000000	5.32	617820	
5	Vector	Add	20000000	5.25	615456	
6	Vector	Add	20000000	5.01	613508	
7	Vector	Add	20000000	4.99	619676	
8	Vector	Add	20000000	5.14	620688	
9	Vector	Add	20000000	5.30	613732	
10	Vector	Add	20000000	4.90	622836	
1	Vector	Remove	500000	0.13	69208	
2	Vector	Remove	500000	0.12	66220	
3	Vector	Remove	500000	0.13	64284	
4	Vector	Remove	500000	0.14	64148	
5	Vector	Remove	500000	0.13	71096	
6	Vector	Remove	500000	0.12	64236	
7	Vector	Remove	500000	0.12	69012	
8	Vector	Remove	500000	0.11	69328	
9	Vector	Remove	500000	0.12	64392	
10	Vector	Remove	500000	0.13	62280	
1	Vector	Remove	1000000	0.14	82672	
2	Vector	Remove	1000000	0.14	84692	
3	Vector	Remove	1000000	0.12	84636	
4	Vector	Remove	1000000	0.15	82668	
5	Vector	Remove	1000000	0.13	78780	
6	Vector	Remove	1000000	0.15	85720	
7	Vector	Remove	1000000	0.13	85736	
8	Vector	Remove	1000000	0.11	87668	
9	Vector	Remove	1000000	0.14	82672	
10	Vector	Remove	1000000	0.12	82816	
1	Vector	Remove	2500000	0.27	116260	
2	Vector	Remove	2500000	0.22	115940	
3	Vector	Remove	2500000	0.28	117956	
4	Vector	Remove	2500000	0.27	117808	
5	Vector	Remove	2500000	0.26	116748	
6	Vector	Remove	2500000	0.27	119104	
7	Vector	Remove	2500000	0.28	115968	
8	Vector	Remove	2500000	0.24	113912	
9	Vector	Remove	2500000	0.31	114164	
10	Vector	Remove	2500000	0.26	115668	
1	Vector	Remove	5000000	0.61	175572	
2	Vector	Remove	5000000	0.51	173644	
3	Vector	Remove	5000000	0.62	174676	
4	Vector	Remove	5000000	0.48	175612	
5	Vector	Remove	5000000	0.58	171532	
6	Vector	Remove	5000000	0.53	171576	
7	Vector	Remove	5000000	0.58	171748	
8	Vector	Remove	5000000	0.52	178592	
9	Vector	Remove	5000000	0.54	176740	
10	Vector	Remove	5000000	0.54	176548	
1	Vector	Remove	10000000	2.99	344668	
2	Vector	Remove	10000000	2.54	345664	
3	Vector	Remove	10000000	2.69	345540	
4	Vector	Remove	10000000	2.72	342856	
5	Vector	Remove	10000000	2.61	342880	
6	Vector	Remove	10000000	2.61	343740	
7	Vector	Remove	10000000	2.48	342760	
8	Vector	Remove	10000000	2.61	342892	
9	Vector	Remove	10000000	2.38	347692	
10	Vector	Remove	10000000	2.18	344544	
1	Vector	Remove	15000000	3.99	521376	
2	Vector	Remove	15000000	4.12	521424	
3	Vector	Remove	15000000	4.39	523408	
4	Vector	Remove	15000000	4.26	523504	
5	Vector	Remove	15000000	4.35	521344	
6	Vector	Remove	15000000	4.22	526536	
7	Vector	Remove	15000000	4.05	523528	
8	Vector	Remove	15000000	4.03	523200	
9	Vector	Remove	15000000	4.06	521512	
10	Vector	Remove	15000000	4.31	526288	
1	Vector	Remove	20000000	5.02	622776	
2	Vector	Remove	20000000	5.23	620832	
